,finalPrice,auctionId,auctionTitle,auctionDate,auctionLocation,estimate_low,estimate_high,title,displayName,url,startingBid,currentBid,numberOfBids,sold
29,402200.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,280000,350000,ENRICO CASTELLANI | BIPOLARE,ENRICO CASTELLANI,/en/buy/auction/2020/contemporary-art-evening-auction-2/enrico-castellani-bipolare,200000,320000.0,12,True
30,499000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,400000,600000,LOUISE BOURGEOIS  |  LIFE FLOWER I,Louise  Bourgeois,/en/buy/auction/2020/contemporary-art-evening-auction-2/louise-bourgeois-life-flower-i,250000,400000.0,3,True
31,741000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,380000,450000, DAMIEN HIRST | CAST A LONG SHADOW,Damien Hirst ,/en/buy/auction/2020/contemporary-art-evening-auction-2/damien-hirst-cast-a-long-shadow,280000,600000.0,13,True
32,438500.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,400000,600000,ANSELM KIEFER | DEIN ASCHENES HAAR SULAMITH (YOUR ASHEN HAIR SULAMITH),Anselm Kiefer,/en/buy/auction/2020/contemporary-art-evening-auction-2/anselm-kiefer-dein-aschenes-haar-sulamith-your,200000,350000.0,4,True
33,474800.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,400000,600000,GÜNTHER FÖRG | UNTITLED,Günther  Förg,/en/buy/auction/2020/contemporary-art-evening-auction-2/guenther-foerg-untitled,320000,380000.0,4,True
34,1467000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,1500000,2000000, GEORG BASELITZ | MUTTER UND KIND (MOTHER AND CHILD),Georg Baselitz,/en/buy/auction/2020/contemporary-art-evening-auction-2/georg-baselitz-mutter-und-kind-mother-and-child,950000,1200000.0,4,False
35,620000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,600000,800000, SIGMAR POLKE | UNTITLED, Sigmar Polke,/en/buy/auction/2020/contemporary-art-evening-auction-2/sigmar-polke-untitled-2,350000,500000.0,3,True
36,1709000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,1800000,2200000,CHRISTOPHER WOOL | UNTITLED,Christopher Wool,/en/buy/auction/2020/contemporary-art-evening-auction-2/christopher-wool-untitled-p-583,1000000,1400000.0,5,True
37,862000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,900000,1200000, DAMIEN HIRST |  THE FOUR SEASONS,Damien Hirst ,/en/buy/auction/2020/contemporary-art-evening-auction-2/damien-hirst-the-four-seasons,450000,700000.0,3,True
38,,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,900000,1200000,ANDY WARHOL | ONE MULTICOLOURED MARILYN (REVERSAL SERIES),Andy Warhol,/en/buy/auction/2020/contemporary-art-evening-auction-2/andy-warhol-one-multicoloured-marilyn-reversal,90000,,0,False
39,1225000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,1000000,1500000, GEORGE CONDO |  SEATED FEMALE FIGURE,George Condo,/en/buy/auction/2020/contemporary-art-evening-auction-2/george-condo-seated-female-figure,900000,1000000.0,4,True
40,378000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,300000,500000,LOUISE BOURGEOIS | FRAGILE GODDESS,Louise  Bourgeois,/en/buy/auction/2020/contemporary-art-evening-auction-2/louise-bourgeois-fragile-goddess,150000,300000.0,6,True
41,922500.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,900000,1200000,MIKE KELLEY   | MEMORY WARE FLAT #6,MIKE KELLEY,/en/buy/auction/2020/contemporary-art-evening-auction-2/mike-kelley-memory-ware-flat-6,600000,750000.0,4,True
42,680500.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,600000,800000,RUDOLF STINGEL | UNTITLED,Rudolf  Stingel,/en/buy/auction/2020/contemporary-art-evening-auction-2/rudolf-stingel-untitled,450000,550000.0,4,False
43,958800.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,500000,700000,ANTONY GORMLEY  |   2 X 2,Antony  Gormley ,/en/buy/auction/2020/contemporary-art-evening-auction-2/antony-gormley-2-x-2,300000,780000.0,16,True
44,583700.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,500000,700000," GEORG BASELITZ | ERSTENS, BITTE SCHÖN (FIRST, IF YOU PLEASE)",Georg Baselitz,/en/buy/auction/2020/contemporary-art-evening-auction-2/georg-baselitz-erstens-bitte-schoen-first-if-you,350000,470000.0,6,True
45,499000.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,400000,600000, KAWS | UNTITLED,KAWS,/en/buy/auction/2020/contemporary-art-evening-auction-2/kaws-untitled,250000,400000.0,5,True
46,680500.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,600000,800000,BARRY FLANAGAN | LEFT HANDED DRUMMER,Barry Flanagan,/en/buy/auction/2020/contemporary-art-evening-auction-2/barry-flanagan-left-handed-drummer,400000,550000.0,4,True
47,559500.0,36e3ff87-d51c-429b-aa8c-0a8ea8d95029,Contemporary Art Evening Auction,21 October 2020,London,500000,700000,MAURIZIO CATTELAN  |  UNTITLED,MAURIZIO CATTELAN,/en/buy/auction/2020/contemporary-art-evening-auction-2/maurizio-cattelan-untitled,400000,450000.0,3,False
